is_mt,latitude,longitude
0,40.6846397,-73.9251257
1,40.8133879,-73.945103
1,40.7401151,-73.9822131
0,40.6406258,-74.0149787
1,40.8216382,-73.9390768
0,40.7070148,-73.9387055
0,40.6087467,-73.95828
1,40.75834,-73.996414
0,40.7499323,-73.7869514
1,40.74478,-73.9758819
0,40.7118249,-73.8361153
1,40.7608574,-73.9610689
0,40.70334,-73.73816
0,40.68006,-73.78221
0,40.722897,-73.91386
0,40.7213656,-73.8480763
0,40.670658,-73.9579745
0,40.5376064,-74.2327455
1,40.7771936,-73.9522385
0,40.6969863,-73.9352238
0,40.6652462,-73.7370821
0,40.581486,-73.8381704
0,40.7518342,-73.8242651
0,40.6925684,-73.7639441
0,40.7339121,-73.8757197
1,40.7637343,-73.9620635
0,40.740353,-73.8809
1,40.8027515,-73.933575
0,40.719584,-73.8397723
0,40.678749,-73.8204991
0,40.6567002,-73.8450556
1,40.7484375,-73.9845604
0,40.516182,-74.233055
1,40.784237,-73.9470697
0,40.631392,-74.0307638
0,40.7089041,-73.9592525
1,40.8221642,-73.9424112
1,40.80401,-73.95033
0,40.6251782,-73.961393
0,40.717487,-73.95218
1,40.7354326,-73.9826943
0,40.639618,-73.92043
1,40.7627073,-73.9832142
0,40.7006626,-73.9877415
0,40.7453916,-73.9055801
0,40.6833187,-73.989991
0,40.6667525,-73.7799356
1,40.80172,-73.96279
1,40.7310195,-73.9859102
0,40.6658159,-73.9758311
0,40.6691002,-73.9366568
0,40.6794866,-73.8572103
0,40.5861291,-73.9501034
1,40.7622874,-73.9702587
1,40.74478,-73.9758819
1,40.8645253,-73.9266187
0,40.6528929,-73.8667311
0,40.607258,-73.96727
0,40.661385,-73.8841
0,40.6981961,-73.8494779
0,40.7666,-73.89117
0,40.7077158,-73.802787
0,40.5820493,-73.8218786
0,40.713913,-73.83009
0,40.5961777,-73.9386092
0,40.6471319,-74.0046234
0,40.5928687,-73.968775
0,40.608746,-73.95829
0,40.75711,-73.93155
0,40.66454,-73.8227505
0,40.6320225,-74.105983
0,40.669975,-73.91988
0,40.6942605,-73.9103549
0,40.6155,-73.94472
0,40.6385828,-74.0207721
1,40.7318931,-74.0037886
1,40.7144934,-74.0135921
0,40.7362694,-73.7728608
0,40.6445337,-73.9459878
0,40.6739843,-73.8906409
0,40.713913,-73.83009
0,40.6209053,-74.0068009
0,40.7314251,-73.9464009
0,40.64644,-73.927864
0,40.6840525,-73.9774579
0,40.5779945,-73.9596347
0,40.6191532,-74.0298433
0,40.6851111,-73.7865275
0,40.6805679,-73.8923283
1,40.7606005,-73.9643142
0,40.768737,-73.8915539
0,40.696186,-73.74347
1,40.7465356,-73.9859503
0,40.6889314,-73.9050434
0,40.5937418,-73.9608458
0,40.61891,-73.96116
1,40.71755,-73.99932
1,40.828606,-73.93803
0,40.6572088,-73.9002951
0,40.6680296,-73.9839446
1,40.7646168,-73.9583231
0,40.6797311,-73.9373966
1,40.7877918,-73.9712223
0,40.695417,-73.908049
0,40.6195717,-73.9168958
1,40.7667172,-73.9691303
0,40.754658,-73.833115
0,40.7585495,-73.8925271
